Run name,Turn direction,Velocity [m/s],Tdiff [Nm],Link to download
do14_2024-05-22_10-38-11.mat,Left,3,50,https://todo.com
do14_2024-05-22_10-45-29.mat,Left,5,50,https://todo.com
do14_2024-05-22_10-52-52.mat,Left,9,50,https://todo.com
do14_2024-05-22_10-59-14.mat,Left,2,100,https://todo.com
do14_2024-05-22_11-00-50.mat,Left,3,100,https://todo.com
do14_2024-05-22_11-01-57.mat,Left,5,100,https://todo.com
do14_2024-05-22_11-03-17.mat,Left,7,100,https://todo.com
do14_2024-05-22_11-04-57.mat,Left,9,100,https://todo.com
do14_2024-05-22_11-09-08.mat,Left,2,150,https://todo.com
do14_2024-05-22_11-11-16.mat,Right,2,150,https://todo.com
do14_2024-05-22_11-13-00.mat,Right,3,150,https://todo.com
do14_2024-05-22_11-14-35.mat,Left,3,150,https://todo.com
do14_2024-05-22_11-58-30.mat,Left,2,50,https://todo.com
do14_2024-05-22_12-00-20.mat,Left,3,50,https://todo.com
do14_2024-05-22_12-01-30.mat,Left,5,50,https://todo.com
do14_2024-05-22_12-03-10.mat,Left,7,50,https://todo.com
do14_2024-05-22_12-05-03.mat,Left,9,50,https://todo.com
do14_2024-05-22_12-08-20.mat,Left,2,100,https://todo.com
do14_2024-05-22_12-09-32.mat,Left,3,100,https://todo.com
do14_2024-05-22_12-10-40.mat,Left,5,100,https://todo.com
do14_2024-05-22_12-12-32.mat,Left,5,100,https://todo.com
do14_2024-05-22_12-14-02.mat,Left,7,100,https://todo.com
do14_2024-05-22_12-16-25.mat,Left,9,100,https://todo.com
do14_2024-05-22_12-20-19.mat,Left,2,150,https://todo.com
do14_2024-05-22_12-21-37.mat,Left,3,150,https://todo.com
do14_2024-05-22_12-24-04.mat,Right,2,150,https://todo.com
do14_2024-05-22_12-25-23.mat,Right,3,150,https://todo.com
do14_2024-05-22_12-26-36.mat,Right,5,150,https://todo.com
do14_2024-05-22_12-28-35.mat,Right,7,150,https://todo.com
do14_2024-05-22_12-31-13.mat,Right,2,175,https://todo.com
do14_2024-05-22_12-32-18.mat,Right,3,175,https://todo.com
do14_2024-05-22_12-33-39.mat,Right,5,175,https://todo.com
do14_2024-05-22_12-35-40.mat,Right,2,200,https://todo.com
do14_2024-05-22_12-37-05.mat,Right,3,200,https://todo.com
do14_2024-05-22_12-38-36.mat,Right,4,200,https://todo.com
do14_2024-05-22_12-40-57.mat,Right,5,200,https://todo.com
do14_2024-05-22_12-42-37.mat,Right,2,225,https://todo.com
do14_2024-05-22_12-43-56.mat,Right,3,225,https://todo.com
do14_2024-05-22_12-48-18.mat,Right,4,225?,https://todo.com
do14_2024-05-22_12-50-47.mat,Right,7,100,https://todo.com
do14_2024-05-22_12-53-52.mat,Left,7,100,https://todo.com
